id,分类,前置ID,后续ID,计数模式,完成条件类型,计数,比对ID,花费金币,奖励成就值,功能ID1,功能ID2,成就名称,成就描述,完成条件描述,成就徽章图标,成就奖励艺术字

int,int,int,int,int,int,int,int,int,int,int,int,string,string,string,string,string
1001,1,0,1002,0,2,100000,0,100000,10000,20001,0,经验加成[1],人物、护卫杀怪经验加成5%,击杀任意怪物100000只,hz_jingyan,jl_jingyan5
1002,1,1001,1003,0,2,200000,0,200000,15000,20002,0,经验加成[2],人物、护卫杀怪经验加成5%,击杀任意怪物200000只,hz_jingyan,jl_jingyan5
1003,1,1002,1004,0,2,300000,0,300000,20000,20003,0,经验加成[3],人物、护卫杀怪经验加成5%,击杀任意怪物300000只,hz_jingyan,jl_jingyan5
1004,1,1003,1005,0,2,400000,0,400000,25000,20004,0,经验加成[4],人物、护卫杀怪经验加成5%,击杀任意怪物400000只,hz_jingyan,jl_jingyan5
1005,1,1004,1006,0,2,500000,0,500000,30000,20005,0,经验加成[5],人物、护卫杀怪经验加成5%,击杀任意怪物500000只,hz_jingyan,jl_jingyan5
1006,1,1005,1007,0,2,600000,0,600000,35000,20006,0,经验加成[6],人物、护卫杀怪经验加成5%,击杀任意怪物600000只,hz_jingyan,jl_jingyan5
1007,1,1006,1008,0,2,700000,0,700000,40000,20007,0,经验加成[7],人物、护卫杀怪经验加成5%,击杀任意怪物700000只,hz_jingyan,jl_jingyan5
1008,1,1007,1009,0,2,800000,0,800000,45000,20008,0,经验加成[8],人物、护卫杀怪经验加成5%,击杀任意怪物800000只,hz_jingyan,jl_jingyan5
1009,1,1008,1010,0,2,900000,0,900000,50000,20009,0,经验加成[9],人物、护卫杀怪经验加成5%,击杀任意怪物900000只,hz_jingyan,jl_jingyan5
1010,1,1009,0,0,2,1000000,0,1000000,55000,20010,0,经验加成[10],人物、护卫杀怪经验加成5%,击杀任意怪物1000000只,hz_jingyan,jl_jingyan5
2001,2,0,2002,1,38,1,3,1100000,5000,21001,0,伤害提升[1],对怪伤害增加5%,击杀触龙邪神,hz_shanghai,jl_shanghai5
2002,2,2001,2003,1,38,1,8,1200000,10000,21002,0,伤害提升[2],对怪伤害增加5%,击杀赤月老魔,hz_shanghai,jl_shanghai5
2003,2,2002,2004,1,38,1,10,1300000,15000,21003,0,伤害提升[3],对怪伤害增加5%,击杀骨魔教主,hz_shanghai,jl_shanghai5
2004,2,2003,2005,1,38,1,13,1400000,20000,21004,0,伤害提升[4],对怪伤害增加5%,击杀冰封魔王,hz_shanghai,jl_shanghai5
2005,2,2004,2006,1,38,1,14,1500000,25000,21005,0,伤害提升[5],对怪伤害增加5%,击杀幽灵教主,hz_shanghai,jl_shanghai5
2006,2,2005,2007,1,38,1,15,1600000,30000,21006,0,伤害提升[6],对怪伤害增加5%,击杀蛮荒巨兽,hz_shanghai,jl_shanghai5
2007,2,2006,2008,1,38,1,16,1700000,35000,21007,0,伤害提升[7],对怪伤害增加5%,击杀火龙王,hz_shanghai,jl_shanghai5
2008,2,2007,2009,1,38,1,17,1800000,40000,21008,0,伤害提升[8],对怪伤害增加5%,击杀九尾妖狐,hz_shanghai,jl_shanghai5
