id,章节,关卡,bossID,boss名称,小怪ID,小怪名称,小怪数量

int,int,int,int,string,int[],string[],int[]
1,1,1,0,null,10003001;10003002,尸卫;骷髅,20;20
2,1,2,10003085,尸王,10003003;10003004,电僵尸;羽蛇,5;5
3,1,3,0,null,10003002;10003006,虎蛇;森林雪人,20;20
4,1,4,10003086,娜迦,10003007;10003003,邪恶钳虫;钳虫,5;5
5,1,5,0,null,10003009;10003010,剧毒蜈蚣;黑面盗,20;20
6,1,6,10003087,触龙邪神,10003011;10003012,黄沙统领;黄沙力士,5;5
7,2,1,0,null,10003013;10003014,黑野猪;血炼猪卫,20;20
8,2,2,10003088,荒漠霸主,10003012;10003016,蛇蝎;邪恶信徒,5;5
9,2,3,0,null,10003017;10003013,邪恶守卫;邪恶祭司,20;20
10,2,4,10003089,血炼猪魔,10003019;10003020,摩萨法师;摩萨战士,5;5
11,2,5,0,null,10003021;10003022,摩萨长老;恶魔魔兵,20;20
12,2,6,10003090,沃玛教主,10003023;10003024,双头血魔;月魔,5;5
13,3,1,0,null,10003022;10003026,牛魔勇士;牛魔法老,20;20
14,3,2,10003091,祖玛教主,10003027;10003023,牛魔祭司;白骨锤兵,5;5
15,3,3,0,null,10003029;10003030,白骨队长;烈焰亲卫,20;20
16,3,4,10003092,赤月老魔,10003031;10003032,兽人战士;兽人督军,5;5
17,3,5,0,null,10003033;10003034,兽人勇士;兽人战士,20;20
18,3,6,10003093,牛魔王,10003032;10003036,兽人督军;兽人勇士,5;5
19,4,1,0,null,10003037;10003033,兽人战士;兽人督军,20;20
20,4,2,10003094,骨魔教主,10003039;10003040,兽人勇士;工蚁,5;5
21,4,3,0,null,10003041;10003042,蚂蚁战士;蚂蚁祭司,20;20
22,4,4,10003095,冰封狮王,10003043;10003044,蛮荒战将;蛮荒蛇灵,5;5
23,4,5,0,null,10003042;10003046,蛮荒斗士;金杖蜘蛛,20;20
24,4,6,10003096,冰宫祭司,10003047;10003043,圣殿卫士;巨镰蜘蛛,5;5
25,5,1,0,null,10003049;10003020,双翼蝙蝠;沼泽绿蜥,20;20
26,5,2,10003097,冰封魔王,10003021;10003022,沼泽蜥蜴;皇陵锤卫,5;5
27,5,3,0,null,10003023;10003024,皇陵重甲兵;皇陵刀卫,20;20
28,5,4,10003098,幽灵教主,10003022;10003026,深海虾将;黑鱼守卫,5;5
29,5,5,0,null,10003027;10003023,八爪怪;深海虾将,20;20
30,5,6,10003099,蛮荒巨兽,10003029;10003060,黑鱼守卫;八爪怪,5;5
31,6,1,0,null,10003061;10003062,深海虾将;黑鱼守卫,20;20
32,6,2,10003100,火龙王,10003063;10003064,八爪怪;牛魔勇士,5;5
33,6,3,0,null,10003062;10003066,牛魔法老;牛魔祭司,20;20
34,6,4,10003101,九尾妖狐,10003067;10003063,兽人战士;兽人督军,5;5
35,6,5,0,null,10003069;10003070,兽人勇士;金杖蜘蛛,20;20
36,6,6,10003102,至尊帝皇,10003071;10003072,圣殿卫士;巨镰蜘蛛,5;5
37,7,1,0,null,10003073;10003074,蛮荒战将;蛮荒蛇灵,20;20
38,7,2,10003103,巫妖王,10003072;10003076,蛮荒斗士;蛮荒战将,5;5
39,7,3,0,null,10003077;10003073,蛮荒蛇灵;蛮荒斗士,20;20
40,7,4,10003104,深海巨魔,10003079;10003030,蛮荒战将;蛮荒蛇灵,5;5
41,7,5,0,null,10003031;10003032,蛮荒斗士;蛮荒战将,20;20
42,7,6,10003105,深海幽龙王,10003033;10003034,蛮荒蛇灵;蛮荒斗士,5;5
