编号,女神关数,女神波数,总奖励物品,奖励物品数量,奖励物品绑定状态
ID,Chong,Guan,ItemIDTotal,ItemCountTotal,ItemBindTypeTotal
int,int,int,int[],int[],int[]
1,1,1,21000003,1,1
2,1,2,21000003;23060001,1;1,1;1
3,1,3,21000003;23060001;27010001,1;1;1,1;1;1
4,1,4,21000003;23060001;27010001,2;1;1,1;1;1
5,1,5,21000003;23060001;27010001,2;1;2,1;1;1
6,1,6,21000003;23060001;27010001,2;2;2,1;1;1
7,1,7,21000003;23060001;27010001,4;2;2,1;1;1
8,1,8,21000003;23060001;27010001,4;4;3,1;1;1
9,1,9,21000003;23060001;27010001,4;4;3,1;1;1
10,1,10,21000003;23060001;27010001,4;4;4,1;1;1
11,2,1,21000003,1,1
12,2,2,21000003;23060001,1;1,1;1
13,2,3,21000003;23060001;27010001,1;1;1,1;1;1
14,2,4,21000003;23060001;27010001,2;1;1,1;1;1
15,2,5,21000003;23060001;27010001,2;1;2,1;1;1
16,2,6,21000003;23060001;27010001,2;2;2,1;1;1
17,2,7,21000003;23060001;27010001,4;2;2,1;1;1
18,2,8,21000003;23060001;27010001,4;4;3,1;1;1
19,2,9,21000003;23060001;27010001,4;4;3,1;1;1
20,2,10,21000003;23060001;27010001,4;4;4,1;1;1
21,3,1,21000003,1,1
22,3,2,21000003;23060001,1;1,1;1
23,3,3,21000003;23060001;27010001,1;1;1,1;1;1
24,3,4,21000003;23060001;27010001,2;1;1,1;1;1
25,3,5,21000003;23060001;27010001,2;1;2,1;1;1
26,3,6,21000003;23060001;27010001,2;2;2,1;1;1
27,3,7,21000003;23060001;27010001,4;2;2,1;1;1
28,3,8,21000003;23060001;27010001,4;4;3,1;1;1
29,3,9,21000003;23060001;27010001,4;4;3,1;1;1
30,3,10,21000003;23060001;27010001,4;4;4,1;1;1
31,4,1,21000003,1,1
32,4,2,21000003;23060001,1;1,1;1
33,4,3,21000003;23060001;27010001,1;1;1,1;1;1
34,4,4,21000003;23060001;27010001,2;1;1,1;1;1
35,4,5,21000003;23060001;27010001,2;1;2,1;1;1
36,4,6,21000003;23060001;27010001,2;2;2,1;1;1
37,4,7,21000003;23060001;27010001,4;2;2,1;1;1
38,4,8,21000003;23060001;27010001,4;4;3,1;1;1
39,4,9,21000003;23060001;27010001,4;4;3,1;1;1
40,4,10,21000003;23060001;27010001,4;4;4,1;1;1
41,5,1,21000003,1,1
42,5,2,21000003;23060001,1;1,1;1
43,5,3,21000003;23060001;27010001,1;1;1,1;1;1
44,5,4,21000003;23060001;27010001,2;1;1,1;1;1
45,5,5,21000003;23060001;27010001,2;1;2,1;1;1
46,5,6,21000003;23060001;27010001,2;2;2,1;1;1
47,5,7,21000003;23060001;27010001,4;2;2,1;1;1
48,5,8,21000003;23060001;27010001,4;4;3,1;1;1
49,5,9,21000003;23060001;27010001,4;4;3,1;1;1
50,5,10,21000003;23060001;27010001,4;4;4,1;1;1
51,6,1,21000003,1,1
52,6,2,21000003;23060001,1;1,1;1
53,6,3,21000003;23060001;27010002,1;1;1,1;1;1
54,6,4,21000003;23060001;27010002,2;1;1,1;1;1
55,6,5,21000003;23060001;27010002,2;1;2,1;1;1
56,6,6,21000003;23060001;27010002,2;2;2,1;1;1
57,6,7,21000003;23060001;27010002,4;2;2,1;1;1
58,6,8,21000003;23060001;27010002,4;4;3,1;1;1
59,6,9,21000003;23060001;27010002,4;4;3,1;1;1
60,6,10,21000003;23060001;27010002,4;4;4,1;1;1
61,7,1,21000003,1,1
62,7,2,21000003;23060001,1;1,1;1
63,7,3,21000003;23060001;27010002,1;1;1,1;1;1
64,7,4,21000003;23060001;27010002,2;1;1,1;1;1
65,7,5,21000003;23060001;27010002,2;1;2,1;1;1
66,7,6,21000003;23060001;27010002,2;2;2,1;1;1
67,7,7,21000003;23060001;27010002,4;2;2,1;1;1
68,7,8,21000003;23060001;27010002,4;4;3,1;1;1
69,7,9,21000003;23060001;27010002,4;4;3,1;1;1
70,7,10,21000003;23060001;27010002,4;4;4,1;1;1
71,8,1,21000003,1,1
72,8,2,21000003;23060001,1;1,1;1
73,8,3,21000003;23060001;27010002,1;1;1,1;1;1
74,8,4,21000003;23060001;27010002,2;1;1,1;1;1
75,8,5,21000003;23060001;27010002,2;1;2,1;1;1
76,8,6,21000003;23060001;27010002,2;3;2,1;1;1
77,8,7,21000003;23060001;27010002,4;3;2,1;1;1
78,8,8,21000003;23060001;27010002,4;5;3,1;1;1
79,8,9,21000003;23060001;27010002,4;5;3,1;1;1
80,8,10,21000003;23060001;27010002,4;5;4,1;1;1
81,9,1,21000003,1,1
82,9,2,21000003;23060001,1;1,1;1
83,9,3,21000003;23060001;27010002,1;1;1,1;1;1
