#v100,,
#±àºÅ,µôÂä×éID,ÎïÆ·ID
#int,int,int
1,10001,11101031
2,10001,11101041
3,10001,11101051
4,10001,11101051
5,10001,11101061
6,10001,11101061
7,10001,11101071
8,10001,11101081
9,10001,12101031
10,10001,12101041
11,10001,12101051
12,10001,12101051
13,10001,12101061
14,10001,12101061
15,10001,12101071
16,10001,12101081
17,10001,13101031
18,10001,13101041
19,10001,13101051
20,10001,13101051
21,10001,13101061
22,10001,13101061
23,10001,13101071
24,10001,13101081
25,10002,11102031
26,10002,11102041
27,10002,11102051
28,10002,11102051
29,10002,11102061
30,10002,11102061
31,10002,11102071
32,10002,11102081
33,10002,12102031
34,10002,12102041
35,10002,12102051
36,10002,12102051
37,10002,12102061
38,10002,12102061
39,10002,12102071
40,10002,12102081
41,10002,13102031
42,10002,13102041
43,10002,13102051
44,10002,13102051
45,10002,13102061
46,10002,13102061
47,10002,13102071
48,10002,13102081
49,10003,11103031
50,10003,11103041
51,10003,11103051
52,10003,11103051
53,10003,11103061
54,10003,11103061
55,10003,11103071
56,10003,11103081
57,10003,12103031
58,10003,12103041
59,10003,12103051
60,10003,12103051
61,10003,12103061
62,10003,12103061
63,10003,12103071
64,10003,12103081
65,10003,13103031
66,10003,13103041
67,10003,13103051
68,10003,13103051
69,10003,13103061
70,10003,13103061
71,10003,13103071
72,10003,13103081
73,10004,11104031
74,10004,11104041
75,10004,11104051
76,10004,11104051
77,10004,11104061
78,10004,11104061
79,10004,11104071
80,10004,11104081
81,10004,12104031
82,10004,12104041
83,10004,12104051
84,10004,12104051
85,10004,12104061
86,10004,12104061
87,10004,12104071
88,10004,12104081
89,10004,13104031
90,10004,13104041
91,10004,13104051
92,10004,13104051
93,10004,13104061
94,10004,13104061
95,10004,13104071
96,10004,13104081
97,10005,11105031
98,10005,11105041
99,10005,11105051
100,10005,11105051
101,10005,11105061
102,10005,11105061
103,10005,11105071
104,10005,11105081
105,10005,12105031
106,10005,12105041
107,10005,12105051
108,10005,12105051
109,10005,12105061
110,10005,12105061
111,10005,12105071
112,10005,12105081
113,10005,13105031
114,10005,13105041
115,10005,13105051
116,10005,13105051
117,10005,13105061
118,10005,13105061
119,10005,13105071
120,10005,13105081
121,10006,11106031
122,10006,11106041
123,10006,11106051
124,10006,11106051
125,10006,11106061
126,10006,11106061
127,10006,11106071
128,10006,11106081
129,10006,12106031
130,10006,12106041
131,10006,12106051
132,10006,12106051
