编号,触发任务ID,触发状态,客户端引导编号,一次引导,等级触发,触发功能开启,引导面板
ID,TaskId,TaskState,guideIndex,once,followLv,showicon,desp
int,int,int,int,int,bool,string,string
1,10026,4,13,1,0,open_yp,玉佩
2,10037,4,12,1,0,open_hd,护盾
3,10039,4,1,0,0,null,回收
4,10040,3,2,0,0,null,降妖除魔
5,10044,3,4,1,1,open_hw,护卫
6,10051,4,1,0,0,null,回收
7,10056,4,10,0,0,open_cb,翅膀
8,10059,4,6,1,0,null,快捷设置
9,10061,4,5,1,0,null,背包买药
10,10063,4,1,0,0,null,回收
11,10064,4,7,0,0,null,强化
13,10070,4,14,1,0,open_lx,龙心
12,10073,4,7,0,0,null,强化
14,10077,4,15,1,0,open_ly,狼牙
15,10080,4,8,1,0,open_jzboss,个人boss
16,10081,3,2,0,0,null,降妖除魔
17,10082,4,7,0,0,null,强化
18,10083,4,9,1,0,null,个人boss
19,10084,4,16,1,0,open_gw,官位
20,10085,3,2,0,0,null,降妖除魔
21,10088,3,2,0,0,null,降妖除魔
22,10092,3,2,0,0,null,降妖除魔
23,10095,3,2,0,0,null,降妖除魔
24,10052,3,11,1,0,null,内功
25,10055,3,17,1,0,null,副本引导
