id,等级,技能类型,名字,图标,消耗贡献度,增加属性类型,增加属性值,战士血量,战士魔法量,法师血量,法师魔法量,道士血量,道士魔法量,开启所需技能ID
,,,,,,,,,,,,,,
int,int,int,string,string,int,int[],int[],int,int,int,int,int,int,int
10001,1,1,攻击下限,gjxx,20000,1004;1006;1008,2;2;2,0,0,0,0,0,0,0
10002,2,1,攻击下限,gjxx,20000,1004;1006;1008,3;3;3,0,0,0,0,0,0,0
10003,3,1,攻击下限,gjxx,20000,1004;1006;1008,4;4;4,0,0,0,0,0,0,0
10004,4,1,攻击下限,gjxx,20000,1004;1006;1008,5;5;5,0,0,0,0,0,0,0
10005,5,1,攻击下限,gjxx,20000,1004;1006;1008,7;7;7,0,0,0,0,0,0,0
10006,6,1,攻击下限,gjxx,20000,1004;1006;1008,9;9;9,0,0,0,0,0,0,0
10007,7,1,攻击下限,gjxx,20000,1004;1006;1008,11;11;11,0,0,0,0,0,0,0
10008,8,1,攻击下限,gjxx,20000,1004;1006;1008,13;13;13,0,0,0,0,0,0,0
10009,9,1,攻击下限,gjxx,20000,1004;1006;1008,15;15;15,0,0,0,0,0,0,0
10010,10,1,攻击下限,gjxx,20000,1004;1006;1008,17;17;17,0,0,0,0,0,0,0
10011,11,1,攻击下限,gjxx,25000,1004;1006;1008,19;19;19,0,0,0,0,0,0,0
10012,12,1,攻击下限,gjxx,25000,1004;1006;1008,21;21;21,0,0,0,0,0,0,0
10013,13,1,攻击下限,gjxx,25000,1004;1006;1008,23;23;23,0,0,0,0,0,0,0
10014,14,1,攻击下限,gjxx,25000,1004;1006;1008,25;25;25,0,0,0,0,0,0,0
10015,15,1,攻击下限,gjxx,25000,1004;1006;1008,27;27;27,0,0,0,0,0,0,0
10016,16,1,攻击下限,gjxx,25000,1004;1006;1008,29;29;29,0,0,0,0,0,0,0
10017,17,1,攻击下限,gjxx,25000,1004;1006;1008,31;31;31,0,0,0,0,0,0,0
10018,18,1,攻击下限,gjxx,25000,1004;1006;1008,33;33;33,0,0,0,0,0,0,0
10019,19,1,攻击下限,gjxx,25000,1004;1006;1008,35;35;35,0,0,0,0,0,0,0
10020,20,1,攻击下限,gjxx,25000,1004;1006;1008,37;37;37,0,0,0,0,0,0,0
10021,21,1,攻击下限,gjxx,30000,1004;1006;1008,39;39;39,0,0,0,0,0,0,0
10022,22,1,攻击下限,gjxx,30000,1004;1006;1008,41;41;41,0,0,0,0,0,0,0
10023,23,1,攻击下限,gjxx,30000,1004;1006;1008,43;43;43,0,0,0,0,0,0,0
10024,24,1,攻击下限,gjxx,30000,1004;1006;1008,45;45;45,0,0,0,0,0,0,0
10025,25,1,攻击下限,gjxx,30000,1004;1006;1008,47;47;47,0,0,0,0,0,0,0
10026,26,1,攻击下限,gjxx,30000,1004;1006;1008,49;49;49,0,0,0,0,0,0,0
10027,27,1,攻击下限,gjxx,30000,1004;1006;1008,51;51;51,0,0,0,0,0,0,0
10028,28,1,攻击下限,gjxx,30000,1004;1006;1008,53;53;53,0,0,0,0,0,0,0
10029,29,1,攻击下限,gjxx,30000,1004;1006;1008,55;55;55,0,0,0,0,0,0,0
10030,30,1,攻击下限,gjxx,30000,1004;1006;1008,57;57;57,0,0,0,0,0,0,0
10031,31,1,攻击下限,gjxx,35000,1004;1006;1008,59;59;59,0,0,0,0,0,0,0
10032,32,1,攻击下限,gjxx,35000,1004;1006;1008,61;61;61,0,0,0,0,0,0,0
10033,33,1,攻击下限,gjxx,35000,1004;1006;1008,63;63;63,0,0,0,0,0,0,0
10034,34,1,攻击下限,gjxx,35000,1004;1006;1008,65;65;65,0,0,0,0,0,0,0
10035,35,1,攻击下限,gjxx,35000,1004;1006;1008,68;68;68,0,0,0,0,0,0,0
10036,36,1,攻击下限,gjxx,35000,1004;1006;1008,70;70;70,0,0,0,0,0,0,0
10037,37,1,攻击下限,gjxx,35000,1004;1006;1008,72;72;72,0,0,0,0,0,0,0
10038,38,1,攻击下限,gjxx,35000,1004;1006;1008,74;74;74,0,0,0,0,0,0,0
10039,39,1,攻击下限,gjxx,35000,1004;1006;1008,76;76;76,0,0,0,0,0,0,0
10040,40,1,攻击下限,gjxx,35000,1004;1006;1008,78;78;78,0,0,0,0,0,0,0
10041,41,1,攻击下限,gjxx,40000,1004;1006;1008,80;80;80,0,0,0,0,0,0,0
10042,42,1,攻击下限,gjxx,40000,1004;1006;1008,82;82;82,0,0,0,0,0,0,0
10043,43,1,攻击下限,gjxx,40000,1004;1006;1008,84;84;84,0,0,0,0,0,0,0
10044,44,1,攻击下限,gjxx,40000,1004;1006;1008,86;86;86,0,0,0,0,0,0,0
10045,45,1,攻击下限,gjxx,40000,1004;1006;1008,88;88;88,0,0,0,0,0,0,0
10046,46,1,攻击下限,gjxx,40000,1004;1006;1008,90;90;90,0,0,0,0,0,0,0
10047,47,1,攻击下限,gjxx,40000,1004;1006;1008,92;92;92,0,0,0,0,0,0,0
10048,48,1,攻击下限,gjxx,40000,1004;1006;1008,94;94;94,0,0,0,0,0,0,0
10049,49,1,攻击下限,gjxx,40000,1004;1006;1008,96;96;96,0,0,0,0,0,0,0
10050,50,1,攻击下限,gjxx,40000,1004;1006;1008,98;98;98,0,0,0,0,0,0,0
10051,51,1,攻击下限,gjxx,45000,1004;1006;1008,100;100;100,0,0,0,0,0,0,0
10052,52,1,攻击下限,gjxx,45000,1004;1006;1008,102;102;102,0,0,0,0,0,0,0
10053,53,1,攻击下限,gjxx,45000,1004;1006;1008,104;104;104,0,0,0,0,0,0,0
10054,54,1,攻击下限,gjxx,45000,1004;1006;1008,106;106;106,0,0,0,0,0,0,0
10055,55,1,攻击下限,gjxx,45000,1004;1006;1008,108;108;108,0,0,0,0,0,0,0
10056,56,1,攻击下限,gjxx,45000,1004;1006;1008,110;110;110,0,0,0,0,0,0,0
10057,57,1,攻击下限,gjxx,45000,1004;1006;1008,112;112;112,0,0,0,0,0,0,0
10058,58,1,攻击下限,gjxx,45000,1004;1006;1008,114;114;114,0,0,0,0,0,0,0
10059,59,1,攻击下限,gjxx,45000,1004;1006;1008,116;116;116,0,0,0,0,0,0,0
10060,60,1,攻击下限,gjxx,45000,1004;1006;1008,118;118;118,0,0,0,0,0,0,0
10061,61,1,攻击下限,gjxx,50000,1004;1006;1008,120;120;120,0,0,0,0,0,0,0
10062,62,1,攻击下限,gjxx,50000,1004;1006;1008,122;122;122,0,0,0,0,0,0,0
10063,63,1,攻击下限,gjxx,50000,1004;1006;1008,124;124;124,0,0,0,0,0,0,0
10064,64,1,攻击下限,gjxx,50000,1004;1006;1008,126;126;126,0,0,0,0,0,0,0
10065,65,1,攻击下限,gjxx,50000,1004;1006;1008,128;128;128,0,0,0,0,0,0,0
10066,66,1,攻击下限,gjxx,50000,1004;1006;1008,130;130;130,0,0,0,0,0,0,0
10067,67,1,攻击下限,gjxx,50000,1004;1006;1008,132;132;132,0,0,0,0,0,0,0
10068,68,1,攻击下限,gjxx,50000,1004;1006;1008,134;134;134,0,0,0,0,0,0,0
10069,69,1,攻击下限,gjxx,50000,1004;1006;1008,136;136;136,0,0,0,0,0,0,0
10070,70,1,攻击下限,gjxx,50000,1004;1006;1008,138;138;138,0,0,0,0,0,0,0
10071,71,1,攻击下限,gjxx,55000,1004;1006;1008,140;140;140,0,0,0,0,0,0,0
10072,72,1,攻击下限,gjxx,55000,1004;1006;1008,142;142;142,0,0,0,0,0,0,0
10073,73,1,攻击下限,gjxx,55000,1004;1006;1008,144;144;144,0,0,0,0,0,0,0
10074,74,1,攻击下限,gjxx,55000,1004;1006;1008,146;146;146,0,0,0,0,0,0,0
10075,75,1,攻击下限,gjxx,55000,1004;1006;1008,148;148;148,0,0,0,0,0,0,0
10076,76,1,攻击下限,gjxx,55000,1004;1006;1008,150;150;150,0,0,0,0,0,0,0
10077,77,1,攻击下限,gjxx,55000,1004;1006;1008,152;152;152,0,0,0,0,0,0,0
10078,78,1,攻击下限,gjxx,55000,1004;1006;1008,154;154;154,0,0,0,0,0,0,0
10079,79,1,攻击下限,gjxx,55000,1004;1006;1008,156;156;156,0,0,0,0,0,0,0
10080,80,1,攻击下限,gjxx,55000,1004;1006;1008,158;158;158,0,0,0,0,0,0,0
10081,81,1,攻击下限,gjxx,60000,1004;1006;1008,160;160;160,0,0,0,0,0,0,0
10082,82,1,攻击下限,gjxx,60000,1004;1006;1008,162;162;162,0,0,0,0,0,0,0
10083,83,1,攻击下限,gjxx,60000,1004;1006;1008,164;164;164,0,0,0,0,0,0,0
10084,84,1,攻击下限,gjxx,60000,1004;1006;1008,166;166;166,0,0,0,0,0,0,0
10085,85,1,攻击下限,gjxx,60000,1004;1006;1008,168;168;168,0,0,0,0,0,0,0
10086,86,1,攻击下限,gjxx,60000,1004;1006;1008,170;170;170,0,0,0,0,0,0,0
10087,87,1,攻击下限,gjxx,60000,1004;1006;1008,172;172;172,0,0,0,0,0,0,0
10088,88,1,攻击下限,gjxx,60000,1004;1006;1008,174;174;174,0,0,0,0,0,0,0
10089,89,1,攻击下限,gjxx,60000,1004;1006;1008,176;176;176,0,0,0,0,0,0,0
10090,90,1,攻击下限,gjxx,60000,1004;1006;1008,178;178;178,0,0,0,0,0,0,0
10091,91,1,攻击下限,gjxx,65000,1004;1006;1008,180;180;180,0,0,0,0,0,0,0
10092,92,1,攻击下限,gjxx,65000,1004;1006;1008,182;182;182,0,0,0,0,0,0,0
10093,93,1,攻击下限,gjxx,65000,1004;1006;1008,184;184;184,0,0,0,0,0,0,0
10094,94,1,攻击下限,gjxx,65000,1004;1006;1008,186;186;186,0,0,0,0,0,0,0
10095,95,1,攻击下限,gjxx,65000,1004;1006;1008,188;188;188,0,0,0,0,0,0,0
10096,96,1,攻击下限,gjxx,65000,1004;1006;1008,190;190;190,0,0,0,0,0,0,0
10097,97,1,攻击下限,gjxx,65000,1004;1006;1008,192;192;192,0,0,0,0,0,0,0
10098,98,1,攻击下限,gjxx,65000,1004;1006;1008,194;194;194,0,0,0,0,0,0,0
10099,99,1,攻击下限,gjxx,65000,1004;1006;1008,196;196;196,0,0,0,0,0,0,0
10100,100,1,攻击下限,gjxx,65000,1004;1006;1008,199;199;199,0,0,0,0,0,0,0
20001,1,2,攻击上限,gjsx,20000,1005;1007;1009,10;10;10,0,0,0,0,0,0,10030
20002,2,2,攻击上限,gjsx,20000,1005;1007;1009,12;12;12,0,0,0,0,0,0,0
20003,3,2,攻击上限,gjsx,20000,1005;1007;1009,16;16;16,0,0,0,0,0,0,0
20004,4,2,攻击上限,gjsx,20000,1005;1007;1009,22;22;22,0,0,0,0,0,0,0
20005,5,2,攻击上限,gjsx,20000,1005;1007;1009,30;30;30,0,0,0,0,0,0,0
20006,6,2,攻击上限,gjsx,20000,1005;1007;1009,38;38;38,0,0,0,0,0,0,0
20007,7,2,攻击上限,gjsx,20000,1005;1007;1009,46;46;46,0,0,0,0,0,0,0
20008,8,2,攻击上限,gjsx,20000,1005;1007;1009,54;54;54,0,0,0,0,0,0,0
20009,9,2,攻击上限,gjsx,20000,1005;1007;1009,62;62;62,0,0,0,0,0,0,0
20010,10,2,攻击上限,gjsx,20000,1005;1007;1009,70;70;70,0,0,0,0,0,0,0
20011,11,2,攻击上限,gjsx,25000,1005;1007;1009,78;78;78,0,0,0,0,0,0,0
20012,12,2,攻击上限,gjsx,25000,1005;1007;1009,86;86;86,0,0,0,0,0,0,0
20013,13,2,攻击上限,gjsx,25000,1005;1007;1009,94;94;94,0,0,0,0,0,0,0
20014,14,2,攻击上限,gjsx,25000,1005;1007;1009,102;102;102,0,0,0,0,0,0,0
20015,15,2,攻击上限,gjsx,25000,1005;1007;1009,110;110;110,0,0,0,0,0,0,0
20016,16,2,攻击上限,gjsx,25000,1005;1007;1009,118;118;118,0,0,0,0,0,0,0
20017,17,2,攻击上限,gjsx,25000,1005;1007;1009,126;126;126,0,0,0,0,0,0,0
20018,18,2,攻击上限,gjsx,25000,1005;1007;1009,135;135;135,0,0,0,0,0,0,0
20019,19,2,攻击上限,gjsx,25000,1005;1007;1009,143;143;143,0,0,0,0,0,0,0
20020,20,2,攻击上限,gjsx,25000,1005;1007;1009,151;151;151,0,0,0,0,0,0,0
20021,21,2,攻击上限,gjsx,30000,1005;1007;1009,159;159;159,0,0,0,0,0,0,0
20022,22,2,攻击上限,gjsx,30000,1005;1007;1009,167;167;167,0,0,0,0,0,0,0
20023,23,2,攻击上限,gjsx,30000,1005;1007;1009,175;175;175,0,0,0,0,0,0,0
20024,24,2,攻击上限,gjsx,30000,1005;1007;1009,183;183;183,0,0,0,0,0,0,0
20025,25,2,攻击上限,gjsx,30000,1005;1007;1009,191;191;191,0,0,0,0,0,0,0
20026,26,2,攻击上限,gjsx,30000,1005;1007;1009,199;199;199,0,0,0,0,0,0,0
20027,27,2,攻击上限,gjsx,30000,1005;1007;1009,207;207;207,0,0,0,0,0,0,0
20028,28,2,攻击上限,gjsx,30000,1005;1007;1009,215;215;215,0,0,0,0,0,0,0
20029,29,2,攻击上限,gjsx,30000,1005;1007;1009,223;223;223,0,0,0,0,0,0,0
20030,30,2,攻击上限,gjsx,30000,1005;1007;1009,231;231;231,0,0,0,0,0,0,0
20031,31,2,攻击上限,gjsx,35000,1005;1007;1009,239;239;239,0,0,0,0,0,0,0
20032,32,2,攻击上限,gjsx,35000,1005;1007;1009,247;247;247,0,0,0,0,0,0,0
20033,33,2,攻击上限,gjsx,35000,1005;1007;1009,255;255;255,0,0,0,0,0,0,0
20034,34,2,攻击上限,gjsx,35000,1005;1007;1009,263;263;263,0,0,0,0,0,0,0
20035,35,2,攻击上限,gjsx,35000,1005;1007;1009,272;272;272,0,0,0,0,0,0,0
20036,36,2,攻击上限,gjsx,35000,1005;1007;1009,280;280;280,0,0,0,0,0,0,0
20037,37,2,攻击上限,gjsx,35000,1005;1007;1009,288;288;288,0,0,0,0,0,0,0
20038,38,2,攻击上限,gjsx,35000,1005;1007;1009,296;296;296,0,0,0,0,0,0,0
20039,39,2,攻击上限,gjsx,35000,1005;1007;1009,304;304;304,0,0,0,0,0,0,0
20040,40,2,攻击上限,gjsx,35000,1005;1007;1009,312;312;312,0,0,0,0,0,0,0
20041,41,2,攻击上限,gjsx,40000,1005;1007;1009,320;320;320,0,0,0,0,0,0,0
20042,42,2,攻击上限,gjsx,40000,1005;1007;1009,328;328;328,0,0,0,0,0,0,0
20043,43,2,攻击上限,gjsx,40000,1005;1007;1009,336;336;336,0,0,0,0,0,0,0
20044,44,2,攻击上限,gjsx,40000,1005;1007;1009,344;344;344,0,0,0,0,0,0,0
20045,45,2,攻击上限,gjsx,40000,1005;1007;1009,352;352;352,0,0,0,0,0,0,0
20046,46,2,攻击上限,gjsx,40000,1005;1007;1009,360;360;360,0,0,0,0,0,0,0
20047,47,2,攻击上限,gjsx,40000,1005;1007;1009,368;368;368,0,0,0,0,0,0,0
20048,48,2,攻击上限,gjsx,40000,1005;1007;1009,376;376;376,0,0,0,0,0,0,0
20049,49,2,攻击上限,gjsx,40000,1005;1007;1009,384;384;384,0,0,0,0,0,0,0
20050,50,2,攻击上限,gjsx,40000,1005;1007;1009,392;392;392,0,0,0,0,0,0,0
20051,51,2,攻击上限,gjsx,45000,1005;1007;1009,401;401;401,0,0,0,0,0,0,0
20052,52,2,攻击上限,gjsx,45000,1005;1007;1009,409;409;409,0,0,0,0,0,0,0
20053,53,2,攻击上限,gjsx,45000,1005;1007;1009,417;417;417,0,0,0,0,0,0,0
20054,54,2,攻击上限,gjsx,45000,1005;1007;1009,425;425;425,0,0,0,0,0,0,0
20055,55,2,攻击上限,gjsx,45000,1005;1007;1009,433;433;433,0,0,0,0,0,0,0
20056,56,2,攻击上限,gjsx,45000,1005;1007;1009,441;441;441,0,0,0,0,0,0,0
20057,57,2,攻击上限,gjsx,45000,1005;1007;1009,449;449;449,0,0,0,0,0,0,0
20058,58,2,攻击上限,gjsx,45000,1005;1007;1009,457;457;457,0,0,0,0,0,0,0
20059,59,2,攻击上限,gjsx,45000,1005;1007;1009,465;465;465,0,0,0,0,0,0,0
20060,60,2,攻击上限,gjsx,45000,1005;1007;1009,473;473;473,0,0,0,0,0,0,0
20061,61,2,攻击上限,gjsx,50000,1005;1007;1009,481;481;481,0,0,0,0,0,0,0
20062,62,2,攻击上限,gjsx,50000,1005;1007;1009,489;489;489,0,0,0,0,0,0,0
20063,63,2,攻击上限,gjsx,50000,1005;1007;1009,497;497;497,0,0,0,0,0,0,0
20064,64,2,攻击上限,gjsx,50000,1005;1007;1009,505;505;505,0,0,0,0,0,0,0
20065,65,2,攻击上限,gjsx,50000,1005;1007;1009,513;513;513,0,0,0,0,0,0,0
20066,66,2,攻击上限,gjsx,50000,1005;1007;1009,521;521;521,0,0,0,0,0,0,0
20067,67,2,攻击上限,gjsx,50000,1005;1007;1009,529;529;529,0,0,0,0,0,0,0
20068,68,2,攻击上限,gjsx,50000,1005;1007;1009,538;538;538,0,0,0,0,0,0,0
20069,69,2,攻击上限,gjsx,50000,1005;1007;1009,546;546;546,0,0,0,0,0,0,0
20070,70,2,攻击上限,gjsx,50000,1005;1007;1009,554;554;554,0,0,0,0,0,0,0
20071,71,2,攻击上限,gjsx,55000,1005;1007;1009,562;562;562,0,0,0,0,0,0,0
20072,72,2,攻击上限,gjsx,55000,1005;1007;1009,570;570;570,0,0,0,0,0,0,0
20073,73,2,攻击上限,gjsx,55000,1005;1007;1009,578;578;578,0,0,0,0,0,0,0
20074,74,2,攻击上限,gjsx,55000,1005;1007;1009,586;586;586,0,0,0,0,0,0,0
20075,75,2,攻击上限,gjsx,55000,1005;1007;1009,594;594;594,0,0,0,0,0,0,0
20076,76,2,攻击上限,gjsx,55000,1005;1007;1009,602;602;602,0,0,0,0,0,0,0
20077,77,2,攻击上限,gjsx,55000,1005;1007;1009,610;610;610,0,0,0,0,0,0,0
20078,78,2,攻击上限,gjsx,55000,1005;1007;1009,618;618;618,0,0,0,0,0,0,0
20079,79,2,攻击上限,gjsx,55000,1005;1007;1009,626;626;626,0,0,0,0,0,0,0
20080,80,2,攻击上限,gjsx,55000,1005;1007;1009,634;634;634,0,0,0,0,0,0,0
20081,81,2,攻击上限,gjsx,60000,1005;1007;1009,642;642;642,0,0,0,0,0,0,0
20082,82,2,攻击上限,gjsx,60000,1005;1007;1009,650;650;650,0,0,0,0,0,0,0
20083,83,2,攻击上限,gjsx,60000,1005;1007;1009,658;658;658,0,0,0,0,0,0,0
20084,84,2,攻击上限,gjsx,60000,1005;1007;1009,667;667;667,0,0,0,0,0,0,0
20085,85,2,攻击上限,gjsx,60000,1005;1007;1009,675;675;675,0,0,0,0,0,0,0
