#v110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#物品编号,类型,图标编号,名字,颜色,负重,装备类别,最小物防,最大物防,最小魔防,最大魔防,最小物攻,最大物攻,最小魔攻,最大魔攻,最小道攻,最大道攻,幸运,诅咒,命中,闪避,魔法闪避,中毒闪避,HP上限,MP上限,HP上限百分比,MP上限百分比,神圣攻击,暴击几率,暴击力,掉落守护,限制类型,等级限制,出售价格,转生等级限制,品质,职业,性别,装备组,装备对比,帮会捐献值,摧毁提示,装备内功,装备背景,回收金币,回收经验,回收血符,是否可使用,能否销毁,能否存入仓库,能否推送,背包是否显示使用标志,限定次数用完之后是否显示推送,功能配置,功能参数,物品描述,获取途径
#type_id,sub_type,icon_id,name,color,weight,equip_type,ac(物防),ac2,mac魔防,mac2,dc（战攻）,dc2,mc（魔攻）,mc2,sc（道攻）,sc2,luck,curse,accuracy,dodge,anti_magic,anti_poison,max_hp,max_mp,max_hp_pres,max_mp_pres,holy_damage,baoji_prob,baoji_pres,drop_luck,need,needlevel,price,need_zslevel,equip_level,job,gender,equip_group,equip_comp,equip_contribute,destory_show,add_power,item_bg,recycle_money,recycle_exp,recycle_xuefu,can_use,can_destroy,can_depot,can_push,bag_show,times_limit,func_id,func_params,desp,source
11100001,1,11100001,木剑,0,0,1,0,0,0,0,12,20,12,20,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,1,0,0,0,0,0,0,500,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11100002,1,11100002,布甲（男）,0,0,2,5,9,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,1,1,0,0,0,0,0,0,500,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11100003,1,11100003,布甲（女）,0,0,2,5,9,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,2,1,0,0,0,0,0,0,500,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11101011,1,11101011,斩马刀,0,0,1,0,0,0,0,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1000,0,0,1,0,1,0,0,0,0,0,0,3000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11101021,1,11101021,轻型盔甲（男）,0,0,2,11,19,11,19,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1000,0,0,1,1,1,0,0,0,0,0,0,3000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11101091,1,11101091,轻型盔甲（女）,0,0,2,11,19,11,19,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1000,0,0,1,2,1,0,0,0,0,0,0,3000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11101031,1,11101031,青铜头盔,0,0,3,5,9,5,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1000,0,0,1,0,1,0,0,0,0,0,0,3000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11101041,1,11101041,灯笼项链,0,0,4,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1000,0,0,1,0,1,0,0,0,0,0,0,3000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11101051,1,11101051,金手镯,0,0,5,2,3,2,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1000,0,0,1,0,1,0,0,0,0,0,0,3000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11101061,1,11101061,金戒指,0,0,6,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1000,0,0,1,0,1,0,0,0,0,0,0,3000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11101071,1,11101071,兽皮腰带,0,0,7,4,6,4,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1000,0,0,1,0,1,0,0,0,0,0,0,3000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11101081,1,11101081,布靴子,0,0,8,2,4,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1000,0,0,1,0,1,0,0,0,0,0,0,3000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11102011,1,11102011,凌霜,0,0,1,0,0,0,0,39,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2000,0,0,1,0,2,0,0,0,0,0,0,10000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11102021,1,11101021,中型盔甲（男）,0,0,2,18,30,18,30,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2000,0,0,1,1,2,0,0,0,0,0,0,10000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11102091,1,11101091,中型盔甲（女）,0,0,2,18,30,18,30,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2000,0,0,1,2,2,0,0,0,0,0,0,10000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11102031,1,11102031,骷髅头盔,0,0,3,9,15,9,15,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2000,0,0,1,0,2,0,0,0,0,0,0,10000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11102041,1,11102041,魔鬼项链,0,0,4,0,0,0,0,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2000,0,0,1,0,2,0,0,0,0,0,0,10000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11102051,1,11102051,死神手套,0,0,5,3,6,3,6,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2000,0,0,1,0,2,0,0,0,0,0,0,10000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11102061,1,11102061,降妖除魔戒指,0,0,6,0,0,0,0,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2000,0,0,1,0,2,0,0,0,0,0,0,10000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11102071,1,11102071,青铜腰带,0,0,7,6,10,6,10,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2000,0,0,1,0,2,0,0,0,0,0,0,10000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11102081,1,11102081,鹿皮靴子,0,0,8,4,7,4,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2000,0,0,1,0,2,0,0,0,0,0,0,10000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11103011,1,11103011,井中月,0,0,1,0,0,0,0,54,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3000,0,1,1,0,3,0,0,0,0,1,0,30000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11103021,1,11102021,重盔甲（男）,0,0,2,25,41,25,41,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3000,0,1,1,1,3,0,0,0,0,1,0,30000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11103091,1,11102091,重盔甲（女）,0,0,2,25,41,25,41,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3000,0,1,1,2,3,0,0,0,0,1,0,30000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
11103031,1,11103031,黑铁头盔,0,0,3,12,20,12,20,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3000,0,1,1,0,3,0,0,0,0,1,0,30000,0,0,1,1,1,0,0,0,0,null,boss掉落、挖宝
