怪物ID,模型id,触发脚本,攻击AI,显示名,技能类型,技能资源,目标特效,等级,目标特效,视野范围,获得经验,获得内功,血量,魔量,最小物防,最大物防,最小法防,最大法防,最小物攻,最大物攻,最小法攻,最大法攻,闪避,命中,等待时间,等待时间,移动速度,施放技能间隔时间,头像,喊话间隔,子类型,掉落组ID,巡逻范围,追击范围,是否可以被撞,切换目标ai类型,切换目标间隔,伤害系数,距离仇仇恨系数,编辑器目录,类型,怪物组别,传送点id,默认AI,巡逻速度,尸体消失时间,刷新时间,方向固定,暴击率,抗暴击,物理攻击减免,魔法减免,回血速度,是否显示刷新公告,是否显示掉落公告,BOSS积分,功能ID,功能参数,默认对话,是否会喊话,随机喊话,简单掉落ID,武器形象,翅膀形象,称号形象,采集时间,是否显示怪物归属,死亡是否显示墓碑
id,model,script,AI,name,effect_type,effect_res,target_effect,lev,zslevel,sight,exp,inside_power_exp,MHP,mp,MinDEF,MaxDEF,MinMDEF,MaxMDEF,MinATK,MaxATK,MinMATK,MaxMATK,DODGE,HIT,minStayTime,maxStayTime,moveTime,interval,head_icon,talkgap,subType,dropID,patrol,maxmove,canPush,switch_target_type,switch_target_interval,hatred_damage_ratio,hatred_distance_ratio,editdir,type,monGroup,teleportID,defaultAI,patrolTime,deadTime,refreshTime,dirFixed,CRIRate,DUCrate,ADTR,MR,HPup,isShowRefresh,isS,bossIntegral,funcid,funcparams,dialog,canSpeak,randomDialog,simpleDropID,weapon,wing,title,collectTime,noShowOwner,showTomb
int,int,string,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,bool,int,int,int,int,string,int,int,int,string,int,int,int,int,int,int,int,int,int,bool,bool,int,string,string,string,bool,string[],int,int,int,int,int,bool,bool
301001,20026,default,70002,雷霆法神,0,0,0,1,0,0,0,0,10000000,0,1000,5000,1000,5000,12000,60000,12000,60000,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,烧猪法师,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60029,0,0,0,0,0
301002,20027,default,70003,皓月法神,0,0,0,1,0,0,0,0,10000000,0,3000,8000,3000,8000,14400,38400,14400,38400,10,20,2500,2500,1,1200,0,0,0,0,3,0,1,0,0,0,0,烧猪法师,6,0,0,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,60030,0,0,0,0,0
302001,32000,default,70001,神兽1级,0,0,0,1,0,9,5000,0,300000,0,10000,100,10000,100,0,0,12000,400,10,20,500,500,2,1200,0,0,0,0,3,10,0,0,0,0,0,道士狗,2,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0
302002,32000,default,70001,神兽2级,0,0,0,2,0,9,15000,0,350000,0,10000,110,10000,110,0,0,12500,400,10,20,500,500,2,1200,0,0,0,0,3,10,0,0,0,0,0,道士狗,2,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0
302003,32000,default,70001,神兽3级,0,0,0,3,0,9,30000,0,400000,0,10000,120,10000,120,0,0,13000,400,10,20,500,500,2,1200,0,0,0,0,3,10,0,0,0,0,0,道士狗,2,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0
302004,32000,default,70001,神兽4级,0,0,0,4,0,9,70000,0,500000,0,10000,130,10000,130,0,0,13500,400,10,20,500,500,2,1200,0,0,0,0,3,10,0,0,0,0,0,道士狗,2,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0
302005,32000,default,70001,神兽5级,0,0,0,5,0,9,200000,0,600000,0,10000,140,10000,140,0,0,14000,400,10,20,500,500,2,1200,0,0,0,0,3,10,0,0,0,0,0,道士狗,2,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0
302006,32000,default,70001,神兽6级,0,0,0,6,0,9,500000,0,700000,0,10000,150,10000,150,0,0,14500,400,10,20,500,500,2,1200,0,0,0,0,3,10,0,0,0,0,0,道士狗,2,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0
302007,32000,default,70001,神兽7级,0,0,0,7,0,9,0,0,800000,0,10000,160,10000,160,0,0,15000,400,10,20,500,500,2,1200,0,0,0,0,3,10,0,0,0,0,0,道士狗,2,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0
302101,33000,default,70007,白虎1级,0,0,0,1,0,9,5000,0,600000,0,10000,140,10000,140,0,0,14000,1100,10,20,500,500,2,1200,0,0,0,0,3,10,0,0,0,0,0,道士白虎,2,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0
302102,33000,default,70007,白虎2级,0,0,0,2,0,9,15000,0,700000,0,10000,150,10000,150,0,0,14500,1250,10,20,500,500,2,1200,0,0,0,0,3,10,0,0,0,0,0,道士白虎,2,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0
302103,33000,default,70007,白虎3级,0,0,0,3,0,9,30000,0,800000,0,10000,160,10000,160,0,0,15000,1400,10,20,500,500,2,1200,0,0,0,0,3,10,0,0,0,0,0,道士白虎,2,0,0,default,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0
