#v100,,,,,,,,,,,,,,,,,,
#编号:区分不同功能(100起),lv等级,最小物理,最大物理,最小魔法,最大魔法,最小道术,最大道术,最小物防,最大物防,最小魔防,最大魔防,HP,MP,升级需求,,,,
#武器,,,,,,,,,,,,,,,,,,
100,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0
100,2,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0
100,3,2,7,2,7,2,7,0,0,0,0,0,0,0,0,0,0,0
100,4,4,12,4,12,4,12,0,0,0,0,0,0,0,0,0,0,0
100,5,6,19,6,19,6,19,0,0,0,0,0,0,0,0,0,0,0
100,6,9,28,9,28,9,28,0,0,0,0,0,0,0,0,0,0,0
100,7,12,38,12,38,12,38,0,0,0,0,0,0,0,0,0,0,0
100,8,16,51,16,51,16,51,0,0,0,0,0,0,0,0,0,0,0
100,9,20,63,20,63,20,63,0,0,0,0,0,0,0,0,0,0,0
100,10,25,79,25,79,25,79,0,0,0,0,0,0,0,0,0,0,0
100,11,31,96,31,96,31,96,0,0,0,0,0,0,0,0,0,0,0
100,12,37,115,37,115,37,115,0,0,0,0,0,0,0,0,0,0,0
100,13,44,136,44,136,44,136,0,0,0,0,0,0,0,0,0,0,0
100,14,51,159,51,159,51,159,0,0,0,0,0,0,0,0,0,0,0
100,15,59,183,59,183,59,183,0,0,0,0,0,0,0,0,0,0,0
100,16,67,210,67,210,67,210,0,0,0,0,0,0,0,0,0,0,0
100,17,76,238,76,238,76,238,0,0,0,0,0,0,0,0,0,0,0
100,18,86,267,86,267,86,267,0,0,0,0,0,0,0,0,0,0,0
100,19,96,299,96,299,96,299,0,0,0,0,0,0,0,0,0,0,0
100,20,106,332,106,332,106,332,0,0,0,0,0,0,0,0,0,0,0
#衣服,,,,,,,,,,,,,,,,,,
110,1,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0
110,2,1,2,1,2,1,2,1,3,1,3,0,0,0,0,0,0,0
110,3,1,4,1,4,1,4,2,6,2,6,0,0,0,0,0,0,0
110,4,2,7,2,7,2,7,3,11,3,11,0,0,0,0,0,0,0
110,5,3,10,3,10,3,10,5,17,5,17,0,0,0,0,0,0,0
110,6,5,15,5,15,5,15,8,24,8,24,0,0,0,0,0,0,0
110,7,7,20,7,20,7,20,11,34,11,34,0,0,0,0,0,0,0
110,8,9,27,9,27,9,27,14,44,14,44,0,0,0,0,0,0,0
110,9,11,34,11,34,11,34,18,55,18,55,0,0,0,0,0,0,0
110,10,13,42,13,42,13,42,22,69,22,69,0,0,0,0,0,0,0
110,11,16,51,16,51,16,51,27,84,27,84,0,0,0,0,0,0,0
110,12,20,61,20,61,20,61,32,101,32,101,0,0,0,0,0,0,0
110,13,23,73,23,73,23,73,38,119,38,119,0,0,0,0,0,0,0
110,14,27,85,27,85,27,85,44,139,44,139,0,0,0,0,0,0,0
