#mID,mNpcName,mScript,mShop,mMapid,mPosx,mPosy,mResModel,mDirect,mFlyID,mShortName,mChangeName,mShowFlag,mDefalutTalk
4001001,新手接待员,npc.mapmove,null,xinshou,52,108,41042,4,2010001,null,0,0,初次进热血世界，眼泪哗哗哗；这才是热血江湖，不玩真可惜。
4001002,焦村长,npc.task.n001,null,xinshou,47,97,41001,4,2010002,null,0,0,我从不喜欢开玩笑，只喜欢静静的看着海边。
4001003,娃娃,npc.task.n001,null,xinshou,39,89,41024,4,2010003,null,0,0,你想知道我姐姐在哪吗，先陪我玩一会。
4001004,樵夫,npc.task.n001,null,xinshou,28,79,41019,4,2010004,null,0,0,我喜欢唱歌，你要陪我唱一会吗。
4001005,村姑,npc.task.n001,null,xinshou,15,55,41007,4,2010005,null,0,0,我最美，我最美，这个村里我最美
4001006,受伤的士兵,npc.task.n001,null,xinshou,34,30,41027,4,2010006,null,0,0,你有药吗，给我吃两颗，我就告诉你一个秘密。
4001007,欣雅,npc.task.n001,null,xinshou,2,34,41026,4,2010007,null,0,0,我要找人，你能帮我吗
4001008,云游者,npc.task.n001,null,xinshou,17,17,41053,4,2010008,null,0,0,云游四方，哪哪都是我家
4001009,迷失的村妇,npc.task.n001,null,xinshou,49,33,41049,4,2010009,null,0,0,我的家在哪？你是我的老公吗？
4001010,民兵,npc.task.n001,null,xinshou,69,28,41023,4,2010010,null,0,0,离我远一点，我很厉害的。
4001011,兵营勇士,npc.task.n001,null,xinshou,60,52,41018,4,2010011,null,0,0,有人说我是勇士，那我就是勇士
4001012,王乙,npc.task.n001,null,xinshou,56,14,41045,4,2010012,null,0,0,少侠，给点钱吧！
4001013,辰星,npc.task.n001,null,xinshou,21,62,41016,4,2010013,null,0,0,我什么都不会说， 除非你告诉我，我丈夫在哪里。
4002001,盟重接引,npc.task.n033,null,tucheng,47,63,41011,4,2020001,null,0,0,欢迎来到盟重，盟重世界欢迎你！
4002002,盟重守卫,npc.task.n014,null,tucheng,57,58,41018,4,2020002,null,0,0,外来人，走路看着点，小心别落到我手里。
4002003,守卫队长,npc.task.n032,null,tucheng,69,54,41027,4,2020003,null,0,0,保卫盟重世界和平共处。
4002004,药店老板,npc.task.n025,null,tucheng,79,31,41005,4,2020004,null,0,0,勇士要不要来几斤药。
4002005,矿主,npc.kuangzhu,null,tucheng,60,21,41008,4,2020005,null,0,0,我家矿很多， 一般人我都不告诉他。
4002006,守护女神,npc.nvshen,null,tucheng,52,22,41022,4,2020006,null,0,0,我缺少安全感，我需要被守护。
4002007,屠夫,npc.task.n001,null,tucheng,38,51,41044,4,2020007,null,0,0,上好的猪肉，客官要来一口吗？
4002008,擂台小卒,npc.task.n001,null,tucheng,23,31,41010,4,2020008,null,0,0,胜败乃兵家常事，输了就是输了。
4002009,平西将军,npc.task.n021,null,tucheng,20,35,41060,4,2020009,null,0,0,谁能与我一战。
4002010,盟重统领,npc.task.n001,null,tucheng,22,23,41061,4,2020010,null,0,0,这里是我罩的，小心说话。
4002011,副本使者,npc.party.cailiao,null,tucheng,35,34,41051,4,2020011,null,0,0,想要升级，获取神器都来找我呀。
4002012,BOSS之家,npc.boss,null,tucheng,64,33,41026,4,2020012,null,0,0,里面有大魔王，你要小心了
4002013,盟重传送员,npc.mapmove2,null,tucheng,55,19,41042,4,2020013,null,0,0,你想去哪我就送你去哪。
4002014,物品回收,npc.huishou,null,tucheng,57,39,41048,4,2020014,null,0,0,收废品了，不要的统统给我。
4002015,降妖除魔,npc.chumo,null,tucheng,32,21,41004,4,2020015,null,0,0,勇士助我一臂之力，一起斩妖除魔。
4002016,书店老板,npc.task.n016,null,tucheng,37,12,41050,4,2020016,null,0,0,你想看什么书，本店应有尽有。
4002017,装备合成,npc.hecheng,null,tucheng,49,25,41011,4,2020017,null,0,0,勇士还能战斗下去吗，快来合成新神器。
4002018,仓库,npc.cangku,null,tucheng,52,35,41049,4,2020018,null,0,0,主人，我可以帮你保管一切哦。
4002019,未知暗殿,npc.andian,null,tucheng,46,28,41053,4,2020019,null,0,0,未知的世界是什么？我也不知道。
4002020,转生神殿,npc.zhuanshen,null,tucheng,48,31,41052,4,2020020,null,0,0,你想看到未来的自己吗？
4002021,烧猪洞,npc.task.n018,null,tucheng,67,30,41047,4,2020021,null,0,0,烈火燃烧自己吧。
4002022,城主雕像,npc.statue,null,tucheng,57,28,41062,4,2020022,null,0,0,你想干什么，我只是一幅雕像。
4002023,门派挑战,npc.task.n001,null,tucheng,65,26,41060,4,2020023,null,0,0,想挑战我？什么？不服？不 服你来咬我啊~~
4002024,玛雅神殿,npc.mayasd,null,tucheng,61,36,41001,4,2020024,null,0,0,我来自未知神殿。
4002025,武器店老板,npc.task.n013,null,tucheng,63,20,41002,4,2020025,null,0,0,客官，今天我们休息不卖武器。
4002026,说书先生,npc.task.n011,null,tucheng,48,6,41004,4,2020026,null,0,0,说打南边来了个哑巴，这个哑巴他不会说话
4002027,染布女子,npc.task.n012,null,tucheng,54,12,41009,4,2020027,null,0,0,父亲给了我几分颜色，我都用来染布了
4002028,车夫,npc.task.n031,null,tucheng,40,21,41012,4,2020028,null,0,0,起步价13万铜币，爱走不走
4002029,老兵,npc.task.n030,null,tucheng,19,47,41045,4,2020029,null,0,0,新兵蛋蛋在哪呢，我要打十个。
4002030,合成师,npc.hechengshi,null,tucheng,73,26,41043,4,2020030,null,0,0,修炼十载只为合成一把绝世好剑。
4003001,矿洞守卫,npc.task.n040,null,kuangdong1,23,49,41027,4,2040001,null,0,0,我的发财梦啊，被那些可恶的僵尸给破碎了。
4003002,冒险者,npc.task.n041,null,kuangdong1,5,34,41047,4,2040002,null,0,0,人为财死，鸟为食亡。
4003003,士兵队长,npc.task.n039,null,kuangdong1,12,23,41051,4,2040003,null,0,0,什么，我的那些部下又忽悠我。
4003004,矿工,npc.task.n038,null,kuangdong1,22,11,41043,4,2040004,null,0,0,挖呀，挖呀，挖呀，挖。
4003005,巡查兵,npc.task.n042,null,kuangdong2,24,37,41018,4,2050001,null,0,0,我迷路了！！！
4003006,探宝者,npc.task.n043,null,kuangdong2,13,28,41053,4,2050002,null,0,0,僵尸也是宝藏，我醉了。
4003007,江湖医师,npc.task.n045,null,kuangdong2,28,9,41026,4,2050003,null,0,0,我看你印堂发黑，定是身体不适，要不要来几粒药？
4003008,士兵统领,npc.task.n044,null,kuangdong2,10,42,41061,4,2050004,null,0,0,请叫我统领。
4004001,蛇谷守卫,npc.task.n049,null,dusheshangu1,16,51,41051,4,2060001,null,0,0,最近的蛇越来越多了，而且变得更凶猛了。
4004002,王老太,npc.task.n046,null,dusheshangu1,13,31,41046,4,2060002,null,0,0,我该怎么办，我该怎么办？
4004003,刘老头,npc.task.n048,null,dusheshangu1,13,11,41047,4,2060003,null,0,0,儿子，我的儿子。
4004004,胡蛋,npc.task.n047,null,dusheshangu1,26,6,41024,4,2060004,null,0,0,#￥&&*******&&&，###&&*。
4004005,山谷守卫队长,npc.task.n052,null,dusheshangu2,12,21,41052,4,2070001,null,0,0,一定要守护好村民。
4004006,吓懵的小伙,npc.task.n051,null,dusheshangu2,18,31,41023,4,2070002,null,0,0,你是谁，什么我又是谁，蒙圈中…
4004007,山谷统领,npc.task.n050,null,dusheshangu2,26,26,41060,4,2070003,null,0,0,尽然遇见鬼了，没想到啊，没想到啊。
4005001,比奇传送员,npc.mapmove2,null,biqi,40,34,41042,4,2030001,null,0,0,想去比奇城吗？跟我走。
4005002,夜袭比奇城,npc.yxshacheng,null,biqi,32,42,41059,4,2030002,null,0,0,我不擅长偷袭，但是你可以去偷袭。
4005003,尸王殿,npc.shiwang,null,biqi,37,51,41051,4,2030003,null,0,0,我是默认对话
4005004,天降赐福,npc.tjcf,null,biqi,48,49,41061,4,2030004,null,0,0,我是默认对话
4005005,天下第一,npc.txdy,null,biqi,51,42,41062,4,2030005,null,0,0,你想一夜暴富吗?你想天下闻名吗？洗洗睡吧。
