id,物品1,物品2,物品3,物品4,物品5,物品6
ID,Item1,Item2,Item3,Item4,Item5,Item6
int,int,int,int,int,int,int
20001,11103031,12103031,13103031,11103041,12103041,13103041
20002,11104031,12104031,13104031,11104041,12104041,13104041
20003,11105031,12105031,13105031,11105041,12105041,13105041
20004,11106031,12106031,13106031,11106041,12106041,13106041
20005,11107031,12107031,13107031,11107041,12107041,13107041
20006,11108031,12108031,13108031,11108041,12108041,13108041
20007,11109031,12109031,13109031,11109041,12109041,13109041
20008,11110031,12110031,13110031,11110041,12110041,13110041
20009,11111031,12111031,13111031,11111041,12111041,13111041
20010,11112031,12112031,13112031,11112041,12112041,13112041
20011,11113031,12113031,13113031,11113041,12113041,13113041
20012,11114031,12114031,13114031,11114041,12114041,13114041
20013,11115031,12115031,13115031,11115041,12115041,13115041
20014,11116031,12116031,13116031,11116041,12116041,13116041
50001,21010003,21010003,21000005,21000005,21000003,21000003
50002,26040001,26040001,26040001,26040001,26040001,26040001
50003,21010004,21010004,21010004,21010003,21010003,21010003
50004,24030001,24030001,24030001,24030001,24030001,24030001
50005,23020001,23020001,23020001,23020001,23020001,23020001
50006,23030001,23030001,23030001,23030001,23030001,23030001
