#v100,,,,,,,,,,,,,,,,,,,,,
#MagicID,levelMax,NeedL1,L1Train,NeedL2,L2Train,NeedL3,L3Train,NeedL4,L4Train,NeedL5,L5Train,Need6,L6Train,NeedL7,L7Train,NeedL8,L8Train,NeedL9,L9Train,NeedL10,L10Train
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#101,3,7,10,5,20,10,50,7,10,5,20,10,50,7,10,5,20,10,50,10,50
102,3,19,10,22,20,24,50,19,10,22,20,24,50,19,10,22,20,24,50,24,50
103,3,25,10,27,20,29,50,25,10,27,20,29,50,25,10,27,20,29,50,29,50
104,3,28,20,31,100,34,200,28,20,31,100,34,200,28,20,31,100,34,200,34,200
105,3,30,30,34,100,39,200,30,30,34,100,39,200,30,30,34,100,39,200,39,200
106,3,35,50,37,100,40,200,35,50,37,100,40,200,35,50,37,100,40,200,40,200
#107,3,35,50,37,100,40,200,35,50,37,100,40,200,35,50,37,100,40,200,40,200
#109,3,35,50,37,100,40,200,35,50,37,100,40,200,35,50,37,100,40,200,40,200
#401,3,7,10,5,20,10,50,7,10,5,20,10,50,7,10,5,20,10,50,10,50
402,3,12,10,15,20,19,50,12,10,15,20,19,50,12,10,15,20,19,50,19,50
#404,3,16,10,21,20,26,50,16,10,21,20,26,50,16,10,21,20,26,50,26,50
405,3,17,10,20,20,23,50,17,10,20,20,23,50,17,10,20,20,23,50,23,50
#406,3,19,10,22,20,25,50,19,10,22,20,25,50,19,10,22,20,25,50,25,50
#407,3,19,10,23,20,25,50,19,10,23,20,25,50,19,10,23,20,25,50,25,50
#408,3,22,10,27,20,31,50,22,10,27,20,31,50,22,10,27,20,31,50,31,50
409,3,24,10,29,20,33,50,24,10,29,20,33,50,24,10,29,20,33,50,33,50
#410,3,26,10,29,20,32,50,26,10,29,20,32,50,26,10,29,20,32,50,32,50
#411,3,30,30,32,100,34,200,30,30,32,100,34,200,30,30,32,100,34,200,34,200
412,3,31,30,34,100,38,200,31,30,34,100,38,200,31,30,34,100,38,200,38,200
414,3,35,50,37,100,40,200,35,50,37,100,40,200,35,50,37,100,40,200,40,200
#416,3,35,50,37,100,40,200,35,50,37,100,40,200,35,50,37,100,40,200,40,200
#417,3,35,50,37,100,40,200,35,50,37,100,40,200,35,50,37,100,40,200,40,200
#501,3,8,10,11,20,16,50,8,10,11,20,16,50,8,10,11,20,16,50,16,50
#502,3,9,10,13,20,19,50,9,10,13,20,19,50,9,10,13,20,19,50,19,50
#503,3,14,10,17,20,20,50,14,10,17,20,20,50,14,10,17,20,20,50,20,50
504,3,7,10,5,20,10,50,7,10,5,20,10,50,7,10,5,20,10,50,10,50
#505,3,19,50,23,100,26,200,19,50,23,100,26,200,19,50,23,100,26,200,26,200
#506,3,20,10,23,20,26,50,20,10,23,20,26,50,20,10,23,20,26,50,26,50
507,3,21,10,25,20,29,50,21,10,25,20,29,50,21,10,25,20,29,50,29,50
508,3,22,10,24,20,26,50,22,10,24,20,26,50,22,10,24,20,26,50,26,50
#509,3,25,10,27,20,29,50,25,10,27,20,29,50,25,10,27,20,29,50,29,50
512,3,33,30,35,100,38,200,33,30,35,100,38,200,33,30,35,100,38,200,38,200
513,3,35,50,37,100,40,200,35,50,37,100,40,200,35,50,37,100,40,200,40,200
#514,3,35,50,37,100,40,200,35,50,37,100,40,200,35,50,37,100,40,200,40,200
#518,3,35,50,37,100,40,200,35,50,37,100,40,200,35,50,37,100,40,200,40,200
#Ãÿ ‚ººƒ‹,,,,,,,,,,,,,,,,,,,,,
601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#618,3,19,10,23,20,25,50,19,10,23,20,25,50,19,10,23,20,25,50,25,50
