编号,显示名称,vip1,vip2,vip3,vip4,vip5,vip6,vip7,vip8,vip9,vip10,vip11,vip12
,,,,,,,,,,,,,
int,string,string,string,string,string,string,string,string,string,string,string,string,string
1,可进入海量BOSS地图：,BOSS之家,BOSS之家,BOSS之家,BOSS之家,BOSS之家,BOSS之家,BOSS之家,BOSS之家,BOSS之家,BOSS之家,BOSS之家,BOSS之家
2,拥有专属标识：,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP
3,VIP攻击加成，最高提升攻击力,54,117,190,271,362,461,570,688,815,951,1096,1250
4,每日金砖使用次数提升至,30次,50次,70次,100次,150次,200次,250次,300次,350次,400次,450次,500次
5,烧猪洞多倍领取倍数：,3倍,4倍,5倍,8倍,8倍,8倍,8倍,8倍,8倍,8倍,8倍,8倍
6,每日免费复活次数提升至,3次,4次,5次,6次,7次,8次,9次,10次,10次,10次,10次,10次
7,每日多倍经验：,双倍1小时,双倍2小时,双倍3小时,双倍4小时,三倍2小时,三倍3小时,三倍4小时,三倍5小时,四倍3小时,四倍4小时,四倍5小时,四倍6小时
8,离线经验倍数：,1.3倍,1.3倍,1.3倍,1.3倍,1.3倍,1.3倍,1.3倍,1.3倍,1.3倍,1.3倍,1.3倍,1.3倍
